2019-07-24 16:16:56,785 - INFO - ####################################
2019-07-24 16:16:56,785 - INFO - ############Loading Model###########
2019-07-24 16:16:56,785 - INFO - ####################################
2019-07-24 16:18:01,319 - INFO - Env 09, Goal (-04.7, 000.5), Episode 00005, setp 109, Reward 35.6 , Distance 008.8, Reach Goal
2019-07-24 16:18:01,319 - INFO - Env 14, Goal (-00.9, -03.6), Episode 00005, setp 108, Reward 37.7 , Distance 009.6, Reach Goal
2019-07-24 16:18:02,561 - INFO - Env 23, Goal (001.5, 004.4), Episode 00005, setp 097, Reward 37.9 , Distance 009.7, Reach Goal
2019-07-24 16:18:03,112 - INFO - Env 13, Goal (-02.2, -04.6), Episode 00004, setp 132, Reward 37.6 , Distance 009.6, Reach Goal
2019-07-24 16:18:03,112 - INFO - Env 08, Goal (-06.4, -06.1), Episode 00005, setp 121, Reward 38.7 , Distance 010.0, Reach Goal
2019-07-24 16:18:04,525 - INFO - Env 15, Goal (-05.3, 001.8), Episode 00005, setp 114, Reward 5.0  , Distance 009.8, Crashed
2019-07-24 16:18:05,649 - INFO - Env 18, Goal (-00.2, -03.1), Episode 00005, setp 139, Reward 36.3 , Distance 009.1, Reach Goal
2019-07-24 16:18:05,936 - INFO - Env 18, Goal (000.3, -05.1), Episode 00006, setp 002, Reward -15.0, Distance 008.2, Crashed
2019-07-24 16:18:05,937 - INFO - Env 21, Goal (004.5, -01.8), Episode 00006, setp 106, Reward 36.1 , Distance 009.1, Reach Goal
2019-07-24 16:18:05,937 - INFO - Env 05, Goal (002.4, 000.9), Episode 00005, setp 070, Reward -3.0 , Distance 008.4, Crashed
2019-07-24 16:18:06,715 - INFO - Env 11, Goal (007.1, -00.3), Episode 00006, setp 112, Reward 36.3 , Distance 009.0, Reach Goal
2019-07-24 16:18:08,051 - INFO - Env 07, Goal (003.6, 001.9), Episode 00005, setp 094, Reward 34.7 , Distance 008.4, Reach Goal
2019-07-24 16:18:09,133 - INFO - Env 06, Goal (004.4, 005.1), Episode 00009, setp 108, Reward 35.9 , Distance 008.9, Reach Goal
2019-07-24 16:18:09,484 - INFO - Env 20, Goal (-02.5, 001.1), Episode 00005, setp 136, Reward 36.8 , Distance 009.2, Reach Goal
2019-07-24 16:18:11,259 - INFO - Env 17, Goal (-03.5, 002.8), Episode 00005, setp 152, Reward 21.9 , Distance 009.3, Time out
